from_date,to_date,chapter,ledger_account,characteristic,balance_in_rub,balance_in_val,balance_in_total,turn_deb_rub,turn_deb_val,turn_deb_total,turn_cre_rub,turn_cre_val,turn_cre_total,balance_out_rub,balance_out_val,balance_out_total
2018-01-01,2018-01-31,А,33333,А,3401354052.04000000,0E-8,3401354052.04000000,625440427.12000000,0E-8,625440427.12000000,787848410.29999950,0E-8,787848410.29999950,640418337.98000850,0E-8,640418337.98000850
2018-01-01,2018-01-31,А,44444,П,63891.96000000,0E-8,63891.96000000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,63891.96000000,0E-8,63891.96000000
2018-01-01,2018-01-31,А,30110,А,1085264.26000000,248922.80000000,1334187.06000000,373332.34000000,0E-8,373332.34000000,1083668.65000000,0E-8,1083668.65000000,-4271158.16000000,248922.80000000,-4022235.36000000
2018-01-01,2018-01-31,А,30111,П,2058498154.94000000,0E-8,2058498154.94000000,262884223.88999997,0E-8,262884223.88999997,172294943.55999999,0E-8,172294943.55999999,566178464.42000034,0E-8,566178464.42000034
2018-01-01,2018-01-31,А,30114,А,0E-8,370133859.04000000,370133859.04000000,0E-8,1000664665.43015949,1000664665.43015949,0E-8,1461931509.76533100,1461931509.76533100,0E-8,-7469986291.95637516,-7469986291.95637516
2018-01-01,2018-01-31,А,30126,П,67224.06000000,0E-8,67224.06000000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,67224.06000000,0E-8,67224.06000000
2018-01-01,2018-01-31,А,30202,А,129554.00000000,0E-8,129554.00000000,0E-8,0E-8,0E-8,93819.58000000,0E-8,93819.58000000,35734.42000000,0E-8,35734.42000000
2018-01-01,2018-01-31,А,30204,А,5541.83000000,0E-8,5541.83000000,149647.04000000,0E-8,149647.04000000,0E-8,0E-8,0E-8,155188.87000000,0E-8,155188.87000000
2018-01-01,2018-01-31,А,30220,П,0E-8,281637062.69000000,281637062.69000000,0E-8,175139753.72965000,175139753.72965000,0E-8,106675759.08024200,106675759.08024200,0E-8,-437230171.47366800,-437230171.47366800
2018-01-01,2018-01-31,А,30221,А,69885.07000000,334988.55000000,404873.62000000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,69885.07000000,334988.55000000,404873.62000000
2018-01-01,2018-01-31,А,30222,П,215769.47000000,654691.48000000,870460.95000000,0E-8,81251.22000000,81251.22000000,0E-8,0E-8,0E-8,215769.47000000,573440.26000000,789209.73000000
2018-01-01,2018-01-31,А,30223,П,814660.67000000,0E-8,814660.67000000,6349676.77000000,0E-8,6349676.77000000,15781776.55000000,0E-8,15781776.55000000,161160356.93000000,0E-8,161160356.93000000
2018-01-01,2018-01-31,А,30232,П,86904.66000000,65593.48000000,152498.14000000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,86904.66000000,65593.48000000,152498.14000000
2018-01-01,2018-01-31,А,30233,А,58966.57000000,84241.58000000,143208.15000000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,58966.57000000,84241.58000000,143208.15000000
2018-01-01,2018-01-31,А,30236,П,39070.65000000,973779.12000000,1012849.77000000,0E-8,118097834.21083800,118097834.21083800,0E-8,191375088.52961300,191375088.52961300,39070.65000000,1095447457.21025900,1095486527.86025900
2018-01-01,2018-01-31,А,30413,А,2916835.42000000,0E-8,2916835.42000000,2098780.35000000,0E-8,2098780.35000000,2382487.14000000,0E-8,2382487.14000000,-1906180.01000000,0E-8,-1906180.01000000
2018-01-01,2018-01-31,А,30424,А,127251834.75000000,0E-8,127251834.75000000,4414156.66000000,0E-8,4414156.66000000,9299232.48000000,0E-8,9299232.48000000,44849531.51000000,0E-8,44849531.51000000
2018-01-01,2018-01-31,А,30425,А,87620.47000000,38318.13000000,125938.60000000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,87620.47000000,38318.13000000,125938.60000000
